id,LINDC+,LDCH,LD2S1,LD3S1,LNM,LINN,overshoot,damping
80,5.245635444119572e-08,3.573514808658511e-08,3.491332662308588e-08,3.5414020582903175e-08,3.224315333254635e-08,5.4843837097827345e-08,1695.5884,0.0
81,1.6615884748473766e-08,3.573514808658511e-08,3.491332662308588e-08,3.5414020582903175e-08,3.224315333254635e-08,5.4843837097827345e-08,1697.5059,0.25210878252983093
82,5.245635444119572e-08,1.089091708427295e-08,3.491332662308588e-08,3.5414020582903175e-08,3.224315333254635e-08,5.4843837097827345e-08,1767.634,0.23773115873336792
83,5.245635444119572e-08,3.573514808658511e-08,1.6191654080413284e-08,3.5414020582903175e-08,3.224315333254635e-08,5.4843837097827345e-08,1640.5283,0.22765061259269714
84,5.245635444119572e-08,3.573514808658511e-08,3.491332662308588e-08,2.3665250654034317e-08,3.224315333254635e-08,5.4843837097827345e-08,1589.79,0.19404639303684235
85,5.245635444119572e-08,3.573514808658511e-08,3.491332662308588e-08,3.5414020582903175e-08,3.460494202999398e-08,5.4843837097827345e-08,1881.073,0.25307855010032654
86,5.245635444119572e-08,3.573514808658511e-08,3.491332662308588e-08,3.5414020582903175e-08,3.224315333254635e-08,1.5527750778030604e-08,1855.5674,0.2528071403503418
87,1.6615884748473766e-08,1.089091708427295e-08,1.6191654080413284e-08,2.3665250654034317e-08,3.460494202999398e-08,1.5527750778030604e-08,1241.168,0.03519245609641075
88,2.193773586023599e-08,5.465572952888906e-08,1.1029513876326382e-09,2.09764239682816e-08,2.788831415127963e-08,1.2055690096933394e-08,1704.2708,0.2694702446460724
89,4.9936018289607014e-08,5.465572952888906e-08,1.1029513876326382e-09,2.09764239682816e-08,2.788831415127963e-08,1.2055690096933394e-08,1594.1201,0.2437993735074997
90,2.193773586023599e-08,5.359020989667624e-08,1.1029513876326382e-09,2.09764239682816e-08,2.788831415127963e-08,1.2055690096933394e-08,1526.8832,0.19525374472141266
91,2.193773586023599e-08,5.465572952888906e-08,3.265906701415777e-08,2.09764239682816e-08,2.788831415127963e-08,1.2055690096933394e-08,1609.8049,0.1905164122581482
92,2.193773586023599e-08,5.465572952888906e-08,1.1029513876326382e-09,4.4558359435275196e-08,2.788831415127963e-08,1.2055690096933394e-08,1676.2808,0.23199497163295746
93,2.193773586023599e-08,5.465572952888906e-08,1.1029513876326382e-09,2.09764239682816e-08,5.797604874949903e-09,1.2055690096933394e-08,1695.0,0.2776239514350891
94,2.193773586023599e-08,5.465572952888906e-08,1.1029513876326382e-09,2.09764239682816e-08,2.788831415127963e-08,3.54847897288762e-08,1549.2664,0.1950598657131195
95,4.9936018289607014e-08,5.359020989667624e-08,3.265906701415777e-08,4.4558359435275196e-08,5.797604874949903e-09,3.54847897288762e-08,1811.0505,0.2562675476074219
96,1.784736168060452e-08,1.844993643453345e-08,2.0849483009818944e-08,2.657481746716425e-08,1.5992413498796525e-08,1.5910789278931918e-08,1291.4927,0.12373848259449005
97,2.6574217379502954e-08,1.844993643453345e-08,2.0849483009818944e-08,2.657481746716425e-08,1.5992413498796525e-08,1.5910789278931918e-08,1289.8068,0.13747532665729523
98,1.784736168060452e-08,6.062858724035323e-10,2.0849483009818944e-08,2.657481746716425e-08,1.5992413498796525e-08,1.5910789278931918e-08,1086.0214,0.06086639687418938
99,1.784736168060452e-08,1.844993643453345e-08,2.235133911980316e-08,2.657481746716425e-08,1.5992413498796525e-08,1.5910789278931918e-08,1501.2357,0.22108033299446106
100,1.784736168060452e-08,1.844993643453345e-08,2.0849483009818944e-08,1.2496469472255557e-08,1.5992413498796525e-08,1.5910789278931918e-08,1098.332,0.08407078683376312
101,1.784736168060452e-08,1.844993643453345e-08,2.0849483009818944e-08,2.657481746716425e-08,4.054841693514958e-08,1.5910789278931918e-08,1320.7004,0.16197103261947632
102,1.784736168060452e-08,1.844993643453345e-08,2.0849483009818944e-08,2.657481746716425e-08,1.5992413498796525e-08,2.987148652913049e-08,1396.5908,0.2608165740966797
103,2.6574217379502954e-08,6.062858724035323e-10,2.235133911980316e-08,1.2496469472255557e-08,4.054841693514958e-08,2.987148652913049e-08,971.9054,0.043991588056087494
104,4.2348534239828586e-08,6.994367622407154e-08,5.476615046964958e-08,2.8956746738050132e-08,3.591535388126969e-08,3.116209154199808e-08,1868.3499,0.25841450691223145
105,4.6420593473482876e-08,6.994367622407154e-08,5.476615046964958e-08,2.8956746738050132e-08,3.591535388126969e-08,3.116209154199808e-08,1875.6252,0.2584635317325592
106,4.2348534239828586e-08,6.39515820901841e-08,5.476615046964958e-08,2.8956746738050132e-08,3.591535388126969e-08,3.116209154199808e-08,1852.4412,0.2573834955692291
107,4.2348534239828586e-08,6.994367622407154e-08,4.026778927871957e-08,2.8956746738050132e-08,3.591535388126969e-08,3.116209154199808e-08,1999.6101,0.2672574818134308
108,4.2348534239828586e-08,6.994367622407154e-08,5.476615046964958e-08,3.164250975364819e-08,3.591535388126969e-08,3.116209154199808e-08,1882.4214,0.2595992386341095
109,4.2348534239828586e-08,6.994367622407154e-08,5.476615046964958e-08,2.8956746738050132e-08,1.3475620585326105e-08,3.116209154199808e-08,1883.1697,0.2726384401321411
110,4.2348534239828586e-08,6.994367622407154e-08,5.476615046964958e-08,2.8956746738050132e-08,3.591535388126969e-08,2.4465644973609598e-08,2034.9392,0.2674286961555481
111,4.6420593473482876e-08,6.39515820901841e-08,4.026778927871957e-08,3.164250975364819e-08,1.3475620585326105e-08,2.4465644973609598e-08,1730.719,0.2295941561460495
112,2.9298304224200548e-08,5.8990800761617726e-09,9.497330800592898e-09,6.423042479157448e-10,4.667395493183285e-08,4.419657139584422e-08,703.8622,0.26254144310951233
113,3.6085129106044766e-09,5.8990800761617726e-09,9.497330800592898e-09,6.423042479157448e-10,4.667395493183285e-08,4.419657139584422e-08,313.042,0.023900797590613365
114,2.9298304224200548e-08,3.8118665607273576e-08,9.497330800592898e-09,6.423042479157448e-10,4.667395493183285e-08,4.419657139584422e-08,1550.4905,0.24636344611644745
115,2.9298304224200548e-08,5.8990800761617726e-09,5.507031656587496e-08,6.423042479157448e-10,4.667395493183285e-08,4.419657139584422e-08,669.0582,0.02656746655702591
116,2.9298304224200548e-08,5.8990800761617726e-09,9.497330800592898e-09,4.9661634650081396e-08,4.667395493183285e-08,4.419657139584422e-08,1628.8015,0.2231876105070114
117,2.9298304224200548e-08,5.8990800761617726e-09,9.497330800592898e-09,6.423042479157448e-10,2.6052795568928124e-08,4.419657139584422e-08,675.2645,0.17271503806114197
