id,R_onHS1,R_offHS1,L_onHS1,L_offHS1,L_SKHS1,R_onHS2,R_offHS2,L_onHS2,L_offHS2,L_SKHS2,overshoot_vgs1,damping_vgs1,vgs1_min,overshoot_vgs2,damping_vgs2,vgs2_min
1851,18.320022735744715,4.831608163192868,9.211560132922604e-09,4.769829120531678e-08,1.3555359352817759e-08,8.739062844309956,3.23776075290516,1.1851995583986863e-08,1.881883251514286e-08,3.8052925843512635e-08,0.7544861,0.003153992583975196,-8.824097,1.7972107,0.02387474849820137,-11.360201
1852,18.320022735744715,4.831608163192868,1.7809679995831105e-08,2.3060236788652838e-08,1.3555359352817759e-08,8.739062844309956,3.23776075290516,1.1851995583986863e-08,1.881883251514286e-08,3.8052925843512635e-08,0.58673096,0.002163409488275647,-8.832031,1.7967277,0.023868301883339882,-11.647966
1853,18.320022735744715,4.831608163192868,1.7809679995831105e-08,4.769829120531678e-08,3.3426014138832686e-08,8.739062844309956,3.23776075290516,1.1851995583986863e-08,1.881883251514286e-08,3.8052925843512635e-08,0.8422241,0.013919888995587826,-9.7543335,1.7965293,0.023856617510318756,-10.855335
1854,18.320022735744715,4.831608163192868,1.7809679995831105e-08,4.769829120531678e-08,1.3555359352817759e-08,16.561932952608913,3.23776075290516,1.1851995583986863e-08,1.881883251514286e-08,3.8052925843512635e-08,0.7943115,0.00392541941255331,-9.078308,0.66042805,0.0021197942551225424,-11.056525
1855,18.320022735744715,4.831608163192868,1.7809679995831105e-08,4.769829120531678e-08,1.3555359352817759e-08,8.739062844309956,16.195261949207634,1.1851995583986863e-08,1.881883251514286e-08,3.8052925843512635e-08,0.795166,0.003930787090212107,-9.021423,2.0593824,0.029563017189502716,-11.371766
1856,18.320022735744715,4.831608163192868,1.7809679995831105e-08,4.769829120531678e-08,1.3555359352817759e-08,8.739062844309956,3.23776075290516,3.118042403187603e-08,1.881883251514286e-08,3.8052925843512635e-08,0.79434204,0.003945186734199524,-9.0894165,1.3605099,0.018685797229409218,-11.320861
1857,18.320022735744715,4.831608163192868,1.7809679995831105e-08,4.769829120531678e-08,1.3555359352817759e-08,8.739062844309956,3.23776075290516,1.1851995583986863e-08,4.06503397913184e-08,3.8052925843512635e-08,0.7934265,0.0038870989810675383,-9.062134,2.1203632,0.023718664422631264,-11.466664
1858,18.320022735744715,4.831608163192868,1.7809679995831105e-08,4.769829120531678e-08,1.3555359352817759e-08,8.739062844309956,3.23776075290516,1.1851995583986863e-08,1.881883251514286e-08,2.6209116775672884e-08,0.79571533,0.003958289977163076,-9.121338,1.3783016,0.016108088195323944,-11.037239
1859,15.059831784106791,10.001676746178418,9.211560132922604e-09,2.3060236788652838e-08,3.3426014138832686e-08,16.561932952608913,16.195261949207634,3.118042403187603e-08,4.06503397913184e-08,2.6209116775672884e-08,0.66500854,0.002815797459334135,-9.298035,0.6957655,0.0024570615496486425,-10.916848
1860,3.2168219429440796,14.12549312505871,4.724134379884228e-08,8.571540614040568e-09,3.7644959150450304e-08,16.45624668803066,19.53536867722869,4.97406466197595e-08,4.3085282240891825e-08,2.3768853569813075e-08,4.977417,0.06170109659433365,-9.228455,0.6426854,0.0017679070588201284,-11.106824
